iter	Passed	Remaining
0	4	40720
1	8	41955
2	12	40018
3	15	38879
4	19	39359
5	23	39150
6	27	38627
7	30	37472
8	34	38332
9	37	37789
10	41	38001
11	46	38521
12	49	38289
13	54	38665
14	59	39382
15	65	40628
16	71	41743
17	74	41551
18	80	42027
19	85	42446
20	90	43112
21	95	43272
22	99	43186
23	104	43489
24	111	44532
25	117	45128
26	121	45036
27	126	44941
28	131	45138
29	136	45199
30	141	45606
31	147	45952
32	153	46317
33	157	46268
34	162	46327
35	167	46387
36	173	46714
37	177	46508
38	182	46586
39	187	46617
40	192	46668
41	197	46793
42	202	47000
43	207	46984
44	213	47235
45	218	47320
46	223	47345
47	227	47255
48	232	47311
49	238	47489
50	244	47625
51	251	48019
52	255	48005
53	260	47958
54	263	47734
55	268	47744
56	273	47697
57	277	47551
58	281	47465
59	286	47528
60	292	47608
61	296	47579
62	301	47483
63	308	47850
64	313	47877
65	318	47984
66	323	47989
67	329	48166
68	333	48017
69	338	47962
70	343	47990
71	347	47981
72	353	48135
73	359	48177
74	363	48133
75	368	48101
76	373	48154
77	378	48106
78	382	48073
79	387	48092
80	392	48100
81	398	48200
82	403	48214
83	409	48310
84	414	48385
85	418	48272
86	423	48214
87	428	48287
88	434	48394
89	439	48390
90	443	48306
91	448	48269
92	452	48213
93	458	48322
94	465	48581
95	471	48604
96	475	48593
97	480	48576
98	485	48534
99	491	48657
100	496	48652
101	501	48704
102	507	48728
103	511	48658
104	515	48599
105	520	48595
106	525	48576
107	530	48614
108	536	48681
109	542	48798
110	548	48871
111	554	48968
112	560	49002
113	565	49039
114	570	49016
115	575	49002
116	580	48997
117	584	48926
118	589	48943
119	594	48981
120	600	49022
121	605	49046
122	611	49130
123	616	49119
124	622	49159
125	626	49080
126	630	49037
127	637	49131
128	642	49154
129	647	49165
130	653	49261
131	657	49179
132	663	49190
133	669	49274
134	675	49378
135	681	49463
136	687	49475
137	692	49474
138	697	49517
139	701	49420
140	706	49408
141	711	49364
142	716	49399
143	722	49422
144	727	49465
145	733	49479
146	737	49438
147	741	49389
148	747	49417
149	752	49433
150	758	49469
151	764	49547
152	769	49529
153	774	49493
154	779	49502
155	785	49537
156	790	49581
157	795	49574
158	801	49582
159	806	49606
160	812	49633
161	817	49627
162	821	49599
163	826	49597
164	831	49563
165	837	49592
166	842	49585
167	846	49532
168	852	49597
169	857	49601
170	863	49649
171	868	49640
172	874	49659
173	880	49711
174	885	49702
175	891	49734
176	897	49794
177	902	49782
178	906	49741
179	911	49748
180	916	49742
181	922	49775
182	927	49757
183	932	49742
184	938	49767
185	943	49769
186	948	49761
187	953	49751
188	958	49781
189	963	49723
190	968	49757
191	974	49777
192	979	49771
193	983	49727
194	988	49722
195	993	49691
196	998	49693
197	1003	49698
198	1009	49714
199	1013	49676
200	1019	49710
201	1024	49704
202	1030	49732
203	1036	49752
204	1040	49730
205	1046	49745
206	1050	49713
207	1056	49757
208	1062	49765
209	1068	49818
210	1074	49829
211	1079	49845
212	1085	49887
213	1090	49878
214	1095	49864
215	1100	49851
216	1106	49888
217	1110	49842
218	1116	49874
219	1122	49885
220	1127	49893
221	1132	49878
222	1139	49946
223	1144	49960
224	1150	49988
225	1155	49959
226	1161	49993
227	1172	50261
228	1183	50510
229	1194	50747
230	1202	50857
231	1208	50884
232	1220	51155
233	1229	51321
234	1239	51509
235	1247	51601
236	1254	51680
237	1260	51718
238	1267	51772
239	1273	51800
240	1281	51878
241	1287	51908
242	1293	51935
243	1299	51962
244	1305	51973
245	1311	51994
246	1316	51979
247	1322	51991
248	1327	52001
249	1334	52027
250	1340	52058
251	1345	52066
252	1352	52091
253	1357	52083
254	1363	52121
255	1370	52174
256	1376	52188
257	1382	52206
258	1388	52222
259	1395	52266
260	1400	52274
261	1405	52224
262	1411	52240
263	1417	52263
264	1421	52236
265	1427	52236
266	1433	52250
267	1438	52243
268	1443	52204
269	1448	52201
270	1453	52176
271	1458	52164
272	1463	52157
273	1470	52181
274	1475	52174
275	1481	52185
276	1487	52211
277	1492	52191
278	1496	52138
279	1501	52115
280	1506	52090
281	1511	52076
282	1515	52043
283	1520	52022
284	1526	52043
285	1531	52010
286	1536	52000
287	1543	52054
288	1549	52063
289	1554	52050
290	1561	52100
291	1566	52090
292	1571	52072
293	1576	52054
294	1582	52052
295	1587	52036
296	1591	51991
297	1595	51939
298	1600	51915
299	1605	51913
300	1611	51922
301	1616	51902
302	1622	51915
303	1628	51936
304	1634	51955
305	1639	51933
306	1645	51940
307	1650	51944
308	1655	51929
309	1660	51900
310	1665	51884
311	1671	51908
312	1676	51887
313	1681	51855
314	1686	51841
315	1691	51840
316	1697	51836
317	1701	51805
318	1706	51798
319	1713	51829
320	1719	51845
321	1724	51827
322	1730	51838
323	1735	51831
324	1740	51826
325	1746	51827
326	1751	51825
327	1757	51816
328	1760	51758
329	1766	51777
330	1771	51760
331	1776	51735
332	1782	51756
333	1788	51759
334	1792	51723
335	1798	51717
336	1803	51718
337	1809	51720
338	1813	51688
339	1819	51687
340	1825	51698
341	1830	51680
342	1835	51666
343	1840	51658
344	1845	51651
345	1850	51625
346	1854	51597
347	1859	51585
348	1864	51562
349	1869	51545
350	1874	51526
351	1878	51489
352	1884	51509
353	1889	51473
354	1894	51482
355	1900	51486
356	1906	51504
357	1912	51504
358	1918	51527
359	1923	51514
360	1929	51509
361	1934	51508
362	1940	51523
363	1946	51521
364	1951	51504
365	1954	51448
366	1959	51440
367	1964	51412
368	1970	51428
369	1974	51389
370	1979	51366
371	1983	51342
372	1989	51341
373	1993	51305
374	1998	51304
375	2003	51272
376	2009	51283
377	2014	51273
378	2019	51255
379	2024	51249
380	2029	51250
381	2034	51232
382	2038	51195
383	2043	51173
384	2047	51146
385	2053	51144
386	2058	51135
387	2063	51125
388	2068	51101
389	2072	51073
390	2077	51060
391	2083	51056
392	2087	51038
393	2091	51002
394	2097	51011
